下列选项中哪项不属于执业兽医师资格考试审核条件？,A、具有兽医相关专业中专学历，连续从事兽医工作满2年的, B、具有兽医师以上技术职称," C、取得动物疫病防治员中级以上职业资格证书以后,并连续从事兽医工作5年以上",D、具有兽医相关专业中专学历，连续从事兽医工作满5年的  ,A、具有兽医相关专业中专学历，连续从事兽医工作满2年
"兽药房专业技术人员调剂处方时必须做到“四查十对”,下列选项哪项不是所查内容?", A、查药品  ,B、查配伍禁忌 ,C、查价格, D、查用药合理性,C、查价格
下列选项中哪项不属于实质性器官？ ,A、肝 , B、脾, C、肺 , D、胃 , D、胃 
下列选项中不是组成内脏的系统是？,A、消化系统, B、内分泌系统  ,C、呼吸系统,D、生殖系统,B、内分泌系统
下列选项中哪项不属于前肢的主要肌肉？,A、 斜方肌,B、半腱肌 ,C、菱形肌,D、.背阔肌, B、半腱肌
作用于肩关节的伸肌是？,A、冈上肌, B、三角肌,C、臂三头肌,D、背阔肌  , B、半腱肌
胰位于十二指肠的弯曲中，其内分泌部又名胰岛，下列选项中不是胰岛分泌的是？,A、胰岛素,B、胰液 ,C、胰高血糖素,D、胰岛,B、胰液
反刍动物的胃部在消化食物过程中被称为“中转站”的是?,A、瘤胃, B、瓣胃, C、网胃,D、皱胃, C、网胃
小肠的消化在整个消化过程中占有极其重要的地位，下列选项中不作用于小肠内的化学性消化的是？, A、胰液,B、胆汁, C、胃液, D、小肠液, C、胃液
下列选项中哪项不是小肠运动的基本形式？, A、钟摆运动,B、集团蠕动,C、蠕动和逆蠕动, D、分节运动,B、集团蠕动 
吸收功能的好坏将直接影响机体的生命活动，下列哪项是主要的吸收器官？, A、小肠, B、大肠 ,C、食管,D、胃,  A、小肠
吸收是机体实现与周围环境进行物质交换过程的重要环节，主要吸收水分和盐类的部位是？,A、小肠, B、大肠,C、食管,D、胃, B、大肠
"主要作用是调节血钙浓度，促进骨钙溶解,升高血钙的激素是?",Ａ、甲状腺, B、肾上腺 ,C、甲状旁腺,  D、胰岛,C、甲状旁腺
被称为“生命中枢”的是？, A、脊髓 ,B、延髓 ,C、脑桥,D、小脑 ,B、延髓
主要完成与条件反射有关的高级神经活动，主宰机体一切正常生命活动的最高级中枢是？,A、大脑皮层, B、延髓,C、脊髓,D、小脑,A、大脑皮层
下列选项中哪项不属于非条件反射？,A、饲料入口引起唾液分泌反射,B、机械刺激角膜引起的角膜反射,C、排粪排尿反射,D、定时外出运动、吃食,D、定时外出运动、吃食
禽类的消化系统中主要起贮存、湿润和软化饲料作用的器官是？,A、食管,B、嗉囊,C、胃 ,D、肌胃,B、嗉囊
中药称的“鸡内金”存在于下列鸡消化系统的哪个器官？,A、食管, B、嗉囊, C、腺胃,D、肌胃,D、肌胃
“位于泄殖腔肛道背侧，有开口向下与肛道相通，其大小随年龄有显著变化，性成熟后逐渐消失。”根据以上描述可以判断出是？, A、胸腺, B、回肠淋巴集结,C、法氏囊,D、盲肠扁桃体,C、法氏囊
牛、羊的发情周期平均为？,A、15天 ,B、17天, C、21天, D、27天, C、21天
属于季节性发情的动物是？, A、牛, B、猪,C、兔 ,D、山羊,D、山羊
属于常年发情的动物是？,A、牛,B、驴 ,C、狗, D、山羊 ,A、牛
在畜牧生产上，被广泛用于催情和超数排卵的是？,A、雌激素, B、孕酮,C、胎盘催乳素, D、 孕马血清促性腺激素（PMSG）, D、 孕马血清促性腺激素（PMSG）
“肉眼可见心外膜下，心室乳头肌和肉柱的静脉血管周围有灰黄色条纹或斑纹，分布于色彩正常的心肌之间，呈红黄相间的虎斑样花纹”。根据以上描述可初步判断出心脏发生的病理变化为？,A、细胞颗粒变性 , B、脂肪变性,C、变质性心肌炎, D、瘀血,B、脂肪变性
“肉眼可见心肌灰暗色（煮肉样），质地松弛，局部呈灰黄或灰白色斑块或条纹，分布在黄红色背景上，沿心冠横切时，灰黄色条纹在心肌内呈环状分布，如虎皮样花纹，称‘虎斑心’。”根据以上描述可初步判断心脏发生的病理变化为？, A、破裂性出血, B、脂肪变性, C、变质性心肌炎 ,D、瘀血, C、变质性心肌炎 
“常见于一些器官的网状纤维、小血管壁和细胞之间，该物质可被碘染成赤褐色，再加1%硫酸呈蓝色。”根据以上描述可以判断出其病理变化为？ ,  A、细胞颗粒变性, B、脂肪变性,C、纤维素样变性,D、淀粉样变性,D、淀粉样变性
“剖检时，动物全身骨骼、牙齿、内脏器官红棕色或棕褐色的色素沉着（猪称“乌骨猪”），但骨膜、软骨、韧带不着色。以上描述是哪种病变的特征？, A、坏疽,  B、卟啉症, C、漏出性出血,D、炭末沉着, B、卟啉症
畜禽肺炎的一种最基本的形式是？,A、支气管肺炎,B、纤维素性肺炎,C、浆液性肺炎  ,D、变质性心肌炎,A、支气管肺炎 
“心包炎时，覆盖在心外膜的纤维素性假膜，常由于心脏的搏动而呈绒毛状，故称‘绒毛心’。”上述属于哪种炎症的病理特征？, A、纤维素性粘膜炎,B、纤维素性浆膜炎, C、浆液性粘膜炎, D、变质性心肌炎,B、纤维素性浆膜炎
供细菌学检查的病料，可放入哪种化学药品中保存？, A、30%甘油生理盐水,B、10%甲醛溶液, C、95%酒精溶液,D、10%甲醛溶液, A、30%甘油生理盐水
供病毒检查的病料，可放入哪种化学药品中保存？,  A、灭菌液状石蜡,B、10%甲醛溶液 , C、50%甘油生理盐水,D、95%酒精溶液, C、50%甘油生理盐水
病理组织学材料可放入哪种化学药品中保存？,  A、灭菌液状石蜡,B、50%甘油生理盐水, C、10%甲醛溶液或95%酒精溶液,D、95%酒精溶液,C、50%甘油生理盐水
下列不属于细胞壁主要功能的是？, A、维持菌体固有形态, B、转运电子与氧化磷酸化, C、表面的抗原决定簇，决定了菌体的抗原性,D、传递信息, B、转运电子与氧化磷酸化
下列不属于细胞膜主要功能的是？,A、表面的抗原决定簇，决定了菌体的抗原性,B、选择性地吸收和运送物质, C、转运电子与氧化磷酸化,D、传递信息,A、表面的抗原决定簇，决定了菌体的抗原性
下列哪项是革兰氏阴性菌细胞壁独有成分，即为内毒素？, A、肽聚糖,B、脂蛋白, C、磷脂, D、脂多糖, D、脂多糖
被称为细胞营养物质代谢的场所是？,A、细胞壁,B、细胞膜,C、细胞质, D、核质,C、细胞质
病料标本镜检时细菌呈蓝青色，组织、细胞等呈其他颜色，视野呈红色。”上述情况是使用的哪种细菌染色法？,A、革兰氏染色法, B、瑞氏染色法 ,C、姬姆萨氏染色法,,C、姬姆萨氏染色法
下列哪项不是构成病毒的主要成分？, A、核酸,B、水分, C、蛋白质,D、脂质及糖类,B、水分
下列哪项作为鉴别和分类病毒的重要依据之一，根据其排列形式将病毒分为立体对称型、螺旋对称型、复合对称型3种类型？,A、核酸,B、衣壳,C、囊膜,D、刺突,B、衣壳
衣壳的成分是？, A、核酸,B、水分,C、蛋白质 ,D、脂质及糖类,C、蛋白质 
病毒在细胞内繁殖后，于细胞内形成的一种用光学显微镜可以看到的特殊斑块是？, A、包涵体, B、空斑  ,C、核酸, D、衣壳, A、包涵体
下列哪项通常作为判定病毒毒力的指标？,A、包涵体,B、血凝现象, C、干扰素 , D、细胞病变（CPE）, D、细胞病变（CPE）
被称为白细胞干扰素的是？, A、α干扰素,  B、β干扰素,C、γ干扰素, D、细胞病变（CPE）, A、α干扰素
、β干扰素主要来源于？, A、白细胞 ,B、成纤维细胞及上皮细胞 ,C、T淋巴细胞及NK细胞,,C、T淋巴细胞及NK细胞
被称为免疫干扰素的是？,A、α干扰素, B、β干扰素, C、γ干扰素,, C、γ干扰素
下列不属于干扰素作用的是？,A、引致细胞的凋亡与坏死,B、具有广谱抗病毒作用，几乎能抗所有病毒。,C、能增强自然杀伤细胞的活力，加快杀伤被病毒感染的靶细胞, D、具有明显的抑制肿瘤的作用,A、引致细胞的凋亡与坏死
有细胞壁结构、没有根茎叶分化的一类异养型单细胞或多细胞真核微生物是指？, A、病毒 ,B、真菌, C、放线菌 , D、细菌, C、放线菌 
最喜欢生活在有机质丰富的微碱性土壤中，泥土所特有的“泥腥味”即由其产生，该微生物是？,  A、支原体,B、真菌,C、放线菌,D、螺旋体,C、放线菌
在固体培养基上形成特征性的“油煎蛋”状菌落的微生物是？  ,A、放线菌,B、衣原体,C、螺旋体,D、支原体,D、支原体
下列不属于专性细胞内寄生的单细胞原核型微生物是？,  A 、支原体,B、衣原体,C、螺旋体,D、支原体,  A 、支原体
利用较低的温度杀死细菌，又不破坏被消毒物品质量，主要用于葡萄洒、啤洒、果洒及牛乳等食品的消毒方法是？,A、巴氏消毒法,B、流通蒸汽灭菌法,C、间歇灭菌法,D、高压蒸汽灭菌法,A、巴氏消毒法
效果最好，最常用、可杀死一切微生物和芽孢，常用于培养基、溶液、器皿 、器械、敷料、橡皮手套、工作服和小实验动物 尸体等灭菌的方法是？,A、巴氏消毒法, B、流通蒸汽灭菌法,C、间歇灭菌法,D、高压蒸汽灭菌法,D、高压蒸汽灭菌法
下列属于非电离辐射的是？ , A、X射线, B、β射线,C、紫外线  ,D、射线,C、紫外线  
下列哪项物质用0.3%~0.5%甲醛溶液37℃处理后，其毒性完全丧失，但仍能保留良好的抗原性？, A、外毒素,  B、类毒素, C、内毒素  ,D、抗毒素, A、外毒素
下列属于中枢免疫器官的是？, A、淋巴结,B、扁桃体, C、胸腺,D、脾脏 , C、胸腺
下列属于外周免疫器官的是？,A、淋巴结 ,B、骨髓,C、胸腺,D、肾脏,A、淋巴结 
下列哪个器官是免疫细胞发生、分化和成熟的场所？,A、腔上囊,B、扁桃体 ,C、肾脏,D、脾脏,A、腔上囊
下列哪个器官是淋巴细胞定居、增殖、接受抗原刺激并进行免疫应答的场所？, A、腔上囊, B、脾脏,C、胸腺,D、骨髓 , B、脾脏
下列哪个选项是由细胞介导，至少12小时以后才发生的变态反应？,A、过敏反应（I型）, B、细胞毒型 （II型）,C、免疫复合物型 （Ⅲ型）,D、迟发型,D、迟发型
对使用大剂量的液体药物比较安全可靠，且不浪费药物的给药技术是？,A、胃管投药法 ,B、拌食投药法 ,C、直肠给药,D、吸入给药,A、胃管投药法 
下列哪项是主要用于周围环境、用具、器械消毒的药物？, A、新洁尔灭，硼酸, B、苯酚，氢氧化钠, C、乌洛托品，高锰酸钾 ,, B、苯酚，氢氧化钠
常用来作为解剖尸体或生物标本固定液和防腐剂的药品是？, A、甲酚  , B、新洁尔灭, C、利凡诺,D、福尔马林,D、福尔马林
下列哪种药物常被用来浸湿草垫铺于畜舍门口，以消毒进出的车轮和行人鞋底？,A、乌洛托品  ,B、甲醛,C、生石灰  , D、过氧乙酸,C、生石灰  
下列哪项是主要作用于皮肤、粘膜的药物？ ,  A、乙醇，硼酸,B、苯酚，氢氧化钠, C、碘，过氧乙酸 ,,  A、乙醇，硼酸
俗称为洒精的是？, A、甲醛,  B、苯酚,  C、甲酚  , D、乙醇, D、乙醇
有异臭气味，不宜用于食品加工车间使用的药物？  , A、甲醛,  B、苯酚,  C、甲酚  , D、乙醇,  C、甲酚  
下列哪项是主要作用于皮肤、粘膜的药物？,A、过氧乙酸，苯酸,B、新洁尔灭、利凡诺 ,  C、过氧化氢溶液，漂白粉,,B、新洁尔灭、利凡诺 
过氧化氢溶液又名双氧水，常用于？,  A、冲洗深部化脓创、瘘管等,B、皮肤消毒  ,C、环境、用具、器械消毒,,  A、冲洗深部化脓创、瘘管等
下列哪项主要是抗革兰氏阳性菌的抗生素？,A、青霉素 , B、链霉素 ,C、硫酸卡那霉素 ,D、硫酸庆大霉素,A、青霉素 
下列哪种抗生素长期使用会损害前庭神经和听神经，引起物性耳聋？,A、红霉素    ,B、土霉素, C、链霉素 , C、链霉素 , C、链霉素 
下列哪种药品属于广谱抗生素？, A、青霉素 ,B、红霉素, C、氟甲砜霉素,D、多粘菌素,C、氟甲砜霉素
下列哪种药品是进入脑脊液中浓度最高的一种，是脑组织细菌性感染的首选药？, A、磺胺对甲氧嘧啶, B、磺胺异恶唑 ,C、磺胺嘧啶, D、磺胺咪,C、磺胺嘧啶
下列哪种药品近中性，对组织刺激性小，主要用于眼科感染？,A、磺胺脒,B、磺胺醋酰, C、诺氟沙星,D、磺胺二甲氧嘧啶 ,B、磺胺醋酰
“SD“是哪种磺胺类药品的简称？,A、磺胺二甲氧嘧啶, B、磺胺嘧啶, C、磺胺醋酰,D、磺胺脒,B、磺胺嘧啶
“SDM”是哪种磺胺类药品的简称？,A、磺胺二甲氧嘧啶,B、磺胺间甲氧嘧啶,C、磺胺脒, D、磺胺对甲氧嘧啶,A、磺胺二甲氧嘧啶
氨苯磺胺又称消炎粉，外用治疗感染创，其简称是？,A、SIZ,  B、SN,C、SMD ,D、SM2,  B、SN
用于驱除家畜胃肠道的蛔虫、血矛线虫等线虫的药物是？,A、氯硝柳胺, B、吡喹酮, C、硝氯酚,D、敌百虫,D、敌百虫
常作为反刍动物的前胃兴奋剂和猪、犬催吐剂的内服药物是？, A、浓氯化钠注射液,B、硝氯酚,C、洒石酸锑钾,D、鱼石脂,C、洒石酸锑钾
鱼石脂、二甲基硅油属于下列哪类药物？, A、促进反刍药, B、胃肠臌胀治疗药,C、助消化药,D、皮肤、粘膜消毒药, B、胃肠臌胀治疗药
氯化铵、碘化钾属于下列哪类药物？,,B、镇咳药,C、平喘药,D、皮肤、粘膜消毒药, A、祛痰药
外科手术之前预先注射，能起到保护心脏作用的药物是？,A、麻黄碱 ,B、肾上腺素 ,C、利多卡因,D、洋地黄,D、洋地黄
下列哪种药物是常用抗凝血药？,A、维生素K ,B、安络血, C、肝素,D、硫酸亚铁 , C、肝素
下列哪种药物可外用于皮肤、粘膜的止血？,A、枸橼酸钠,B、三氯化铁 , C、安络血,D、肝素,B、三氯化铁 
对于肾性水肿应该禁用的利尿药是？, A、呋喃苯胺酸,B、安体舒通,C、双氢氯噻嗪,D、汞撒利 ,D、汞撒利 
下列哪种药物属于高效利尿药？, A、呋喃苯胺酸,  B、安体舒通,  B、安体舒通,D、尿素    , A、呋喃苯胺酸
下列哪种药物不能用于动物的催产或引产？, A、垂体, B、缩宫素,C、麦角新碱,D、催产素,C、麦角新碱
下列哪项是作用于中枢神经系统的药物？, A、盐酸普鲁卡因, B、阿托品,C、尼可刹米  , D、乙酰胆碱,C、尼可刹米  
对中枢神经系统有兴奋作用，大脑对此种药物最为敏感的是？,A、尼可刹米, B、士的宁,C、咖啡因 , D 、乙酰胆碱,C、咖啡因 
临床上主要用于加速麻醉动物的苏醒和中枢抑制药中毒解救的药物是？, A、戊巴比妥,B、尼可刹米,C、咖啡因, D、氯丙嗪,B、尼可刹米
下列哪种药物属于局部麻醉药？, A、水合氯醛,B、盐酸丁卡因  ,C、咖啡因,D、安乃近,B、盐酸丁卡因  
适用于眼、鼻、咽喉、气管、尿道等粘膜部位浅表手术的局部麻醉方法是？, A、表面麻醉,B、浸润麻醉, C、传导麻醉 ,D、硬膜外腔麻, A、表面麻醉
下列哪种局部麻醉药物不宜作浸润麻醉或传导麻醉？,  A、盐酸普鲁卡因,B、盐酸丁卡因 , C、盐酸利多卡因, D、昔罗卡因 ,B、盐酸丁卡因 
下列哪种药物用于有机磷中毒的解毒？,A、阿托品,B、亚硝酸钠,C、乙酰胺  , D、亚甲蓝,A、阿托品
下列哪种药物用于氰化物中毒的解毒？, A、胆碱酯酶复合剂, B、硫代硫酸钠 , C、乙酰胺, D、亚甲蓝, B、硫代硫酸钠 
下列哪种药物是有机磷中毒的特效解毒药？,A、硫代硫酸钠 ,B、乙酰胺,C、胆碱酯酶复合剂,,C、胆碱酯酶复合剂
乙酰胺是下列哪种中毒现象的特异性解毒药？,  A、铅中毒,B、有机磷中毒,C、氰化物中毒,D、有机氟中毒,D、有机氟中毒
特殊情况下需延长处方有效期的，由开具处方的兽医注明有效期限，但有效期最长不得超过？, A、1个月, B、1周  ,C、当天, D、3天 , D、3天
畜禽体由一系列不同的系统所组成，下列选项中哪4个系统又合称为内脏？,A、被皮、呼吸、循环和生殖系统 , B、消化、免疫、内分泌和生殖系统,、消化、呼吸、泌尿和生殖系统 , D、消化、呼吸、内分泌和泌尿系统 ,、消化、呼吸、泌尿和生殖系统 
下列不属于一类动物疫病的病种是？ ,  A、猪水疱疱 ,B、牛海绵状脑病,C、绵羊痘和山羊痘,D、狂犬病,D、狂犬病
下列不属于一类动物疫病的病种是？,A、牛瘟,B、牛传染性胸膜肺炎, C、牛海绵状脑病 , D、牛结核病, D、牛结核病
下列不属于一类动物疫病的病种是？,A、猪水疱病,B、猪瘟,C、非洲猪瘟,D、猪丹毒,D、猪丹毒
下列不属于一类动物疫病的病种是？,A、牛海绵状脑病, B、痒病, C、蓝舌病,D、鸡传染性支气管炎,D、鸡传染性支气管炎
下列不属于一类动物疫病的病种是？ ,A、禽流行性感冒,B、高致病性禽流感 , C、鸡新城疫,D、禽白血病,D、禽白血病
下列不属于一类动物疫病的病种是？,A、牛传染性胸膜肺炎, B、牛海绵状脑病,C、绵羊痘和山羊痘,D、牛结核病,D、牛结核病
下列不属于一类动物疫病的病种是？, A、口蹄疫, B、禽流行性感冒,C、痒病,D、禽霍乱 ,D、禽霍乱 
下列不属于二类动物疫病的病种是？, A、狂犬病, B、炭疽, C、弓形虫病, D、口蹄疫, D、口蹄疫
下列不属于二类动物疫病的病种是？, A、牛传染性鼻气管炎,B、牛恶性卡他热, C、牛白血病,D、牛海绵状脑病,D、牛海绵状脑病
下列不属于二类动物疫病的病种是？,A、牛出血性败血病 ,B、牛结核病,C、牛焦虫病, D、牛传染胸膜肺炎, D、牛传染胸膜肺炎
下列不属于二类动物疫病的病种是？,A、牛锥虫病,B、日本血吸虫病,C、牛恶性卡他热,D、牛瘟,D、牛瘟
下列不属于二类动物疫病的病种是？, A、牛传染性鼻气管炎, B、牛白血病,C、牛锥虫病,D、痒病,D、痒病
下列不属于二类动物疫病的病种是？,A、牛恶性卡他热,B、牛出血性败血病 , C、牛结核病,D、蓝舌病,D、蓝舌病
下列不属于二类动物疫病的病种是？,A、山羊关节炎脑炎, B、梅地一维氏纳病,C、钩端螺旋体病, D、绵羊痘和山羊痘, D、绵羊痘和山羊痘
下列不属于二类动物疫病的病种是？,A、猪乙型脑炎,B、猪细小病毒病,C、猪繁殖与呼吸综合症,D、猪水疱病,D、猪水疱病
下列不属于二类动物疫病的病种是？, A、猪丹毒, B、猪肺炎,C、猪链球菌病,D、猪瘟,D、猪瘟
下列不属于二类动物疫病的病种是？,A、猪传染性萎缩性鼻炎,B、猪支原体肺炎,C、旋毛虫病,D、非洲猪瘟,D、非洲猪瘟
下列不属于二类动物疫病的病种是？ ,  A、猪乙型脑炎,B、猪肺疫, C、猪囊尾蚴病,D、口蹄疫,D、口蹄疫
下列不属于二类动物疫病的病种是？,A、马传染性贫血,B、马流行性淋巴管, C、非洲马瘟,D、马鼻疽 , C、非洲马瘟
下列不属于二类动物疫病和病种是？, A、非洲马瘟,B、巴贝斯焦虫病,C、伊氏锥虫病,D、马流行性淋巴管炎, A、非洲马瘟
下列不属于二类动物疫病的病种是？,  A、鸡传染性喉气管炎,B、禽流行性感冒 ,C、鸡传染性法氏囊病,D、鸡传染性支气管炎,
下列不属于二类动物疫病的病种是？,A、鸡马立克氏病,B、高致病性禽流感,C、禽白血病,D、鸡产蛋下降综合征,
下列不属于二类动物疫病的病种是？, A、禽痘 ,B、鸭瘟,C、鸭病毒性肝炎,D、鸡新城疫,D、鸡新城疫
下列不属于二类动物疫病的病种是？, A、小鹅瘟,B、禽霍乱,C、鸡白痢 ,D、鸡新城疫,D、鸡新城疫
下列不属于二类动物疫病的病种是？,A、鸡新城疫,C、禽白血病 ,B、鸡球虫病  , D、鸡败血支原体感染,A、鸡新城疫
下列不属于二类动物疫病的病种是？,A、兔病毒性出血病 ,B、兔粘液瘤病  ,C、野兔热,D、小反刍兽疫,D、小反刍兽疫
下列不属于三类动物疫病的病种是？,A、布鲁氏菌病, B、李氏杆菌病  , C、类鼻疽,D、黑腿病,A、布鲁氏菌病
下列不属于三类动物疫病的病种是？, A、放线菌病,B、肝片吸虫病,C、弓形虫病 ,D、丝虫病,C、弓形虫病 
下列不属于三类动物疫病的病种是？,A、牛传染性胸膜肺炎,B、牛病毒性腹泻（粘膜病）, C、牛生殖器官弯曲杆菌病,D、牛流行热,A、牛传染性胸膜肺炎
下列不属于三类动物疫病的病种是？,A、牛生殖器官弯曲杆菌病,B、毛滴虫病, C、牛皮蝇蛆病,D、牛海绵状脑病,D、牛海绵状脑病
下列不属于三类动物疫病的病种是？, A、肺腺瘤病,B、绵羊地方性流产, C、传染性脓疱皮炎,D、绵羊痘和山羊痘,
下列不属于三类动物疫病的病种是？,A、腐蹄病, B、传染性眼炎,C、肠毒血症,D、山羊痘,D、山羊痘
下列不属于三类动物疫病的病种是？,A、猪传染性胃肠炎,B、猪副伤寒, C、猪密螺旋体痢疾, D、猪支原体肺炎, D、猪支原体肺炎
下列不属于三类动物疫病的病种是？,A、鸡病毒性关节炎, B、禽传染性脑脊髓炎 ,C、传染性鼻炎,  D、鸡传染性支气管炎,  D、鸡传染性支气管炎
下列不属于三类动物疫病的病种是？, A、禽结核病,B、禽伤寒 ,C、禽传染性脑脊髓炎 ,D、鸭病毒性肝炎,D、鸭病毒性肝炎
下列不属于三类动物疫病的病种是？,A、高致病性禽流感,  B、牲畜口蹄疫, C、猪瘟 , D、猪水疱病, D、猪水疱病
下列不属于江苏省规定的重大动物疫病的病种是,  A、鸡新城疫 ,B、狂犬病,C、羊痘 ,D、牛瘟 ,D、牛瘟 
叩诊正常肺部发出的声音为,A、清音, B、浊音, C、鼓音,,A、清音
犬的正常体温变动范围是,A、40.0 ~42.0℃,B、37.5~39.0℃,  C、36.0~38.5℃,D、34.0~36.5℃,B、37.5~39.0℃
取得执业助理兽医师后，连续从事兽医工作满几年的，可参加执业兽医师资格考试。, A、3,B、5 ,C、7,D、6, A、3
急诊处方一般不得超过几日用药量。,A、1,B、3, C、5 ,D、7,B、3
《江苏省动物防疫条例》经江苏省第九届人大常委会于2002年8月20日通过，自哪起施行。,A、2002年10月1日,B、2002年12月1日,C、2003年1月1日 ,A、2002年1月1日,A、2002年10月1日
动物诊疗许可证每几年由县（市、区）畜牧兽医行政管理部门审核1次。,A、1, B、2 , C、3,D、4, C、3
兽药处方一般不得超过几天用药量。,A、3, B、5,C、7 ,D、9,C、7 
由于各种不良因素的作用，致使蹄角质异常生长，蹄外形发生改变而不同于正常家畜的蹄形，称为？,A、蹄叶炎, B、蹄变形,C、蹄糜烂,, B、蹄变形
具有兽医相关专业中专学历，连续从事兽医工作满几年的可以参加执业助理兽医师资格考试。,A、2 ,B、3, C、4,D、5,A、2 
下列属于国家规定的二类动物疫病的是,A、高致病性禽流感, B、口蹄疫,C、牛结核病,,C、牛结核病
下列属于国家公布的违禁药物的是, A、蛋氨酸,B、氯霉素,C、鱼粉,,B、氯霉素
执业兽医包括,A、兽医师,B、执业兽医师和执行助理兽医师,C、高级兽医师,,B、执业兽医师和执行助理兽医师
外科手术中器械、敷料、手术及橡胶类物品的消毒灭菌常采用下列哪种方法？,A、煮沸灭菌法,B、高压蒸汽灭菌法, C、化学药品消毒法 ,D、火焰灭菌法,B、高压蒸汽灭菌法
局部麻醉剂注射于皮下、粘膜下及深部组织以麻醉感觉神经末梢或神经干，使其失去感觉和传导刺激的能力称为, A、表面麻醉,B、浸润麻醉,  C、传导麻醉,D、硬膜外腔麻醉 ,B、浸润麻醉
在猪发生猪瘟时，其眼结膜上可出现什么变化？,A、苍白,B、黄染,C、发绀,D、出血,D、出血
